comunidad_autonoma;total;analfabetos;estudios_primarios_incompletos;primaria;primero_secundaria;segundo_secundaria_general;segundo_secundaria_profesional_;educacion_superior
Andalucía;100;2.1;6.6;9.9;30.6;12.9;8.5;29.5
Aragón;100;0.5;2.5;12.1;28.6;12.5;10.5;33.3
Asturias. Principado de;100;0.3;1.7;8.7;31.6;14.4;9.3;34.1
Balears. Illes;100;1.2;2.7;11.9;30;16.9;9.2;28
Canarias;100;1.3;4.8;11.4;25.9;18.4;8.7;29.6
Cantabria;100;0.3;0.3;7.1;28.4;13.3;11;39.5
Castilla y León;100;0.5;2.9;13.6;28.6;13.4;9.2;31.7
Castilla - La Mancha;100;1.1;6.9;11.3;33.5;12.9;8.4;25.9
Cataluña;100;1;3.2;11.9;26;13.5;8.3;36.2
Comunitat Valenciana;100;1.3;4.4;8;33.3;12;10.3;30.8
Extremadura;100;2.1;6.2;12.2;32.9;11.3;8.2;27.1
Galicia;100;0.8;3.2;11;32.5;12.5;8.2;31.8
Madrid. Comunidad de;100;0.6;1.9;10.5;22.2;17.6;6.4;40.7
Murcia. Región de;100;2.5;5.8;9.1;32;14.8;8.4;27.3
Navarra. Comunidad Foral de;100;0.7;2.4;11.6;21.3;14.6;10.4;39
País Vasco;100;0.7;2.2;8.9;20.2;12.5;10.2;45.3
Rioja. La;100;1;1.9;6.6;37.3;12.5;9.1;31.7
Ceuta;100;2.8;1.6;18.4;34.5;13;8.9;20.8
Melilla;100;4.5;3;16.5;25;15;8.4;27.7
