comunidad_autonoma;2024T4;2024T3;2024T2;2024T1
Andalucía;149.9;151.5;149.6;149.2
Aragón;151.9;154.3;152.2;151.5
Asturias. Principado de;149;151.4;149.7;148.8
Balears. Illes;154.4;157.1;155.4;153
Canarias;155.5;156.3;155.2;153.4
Cantabria;148.8;150.8;149.2;151.7
Castilla y León;149.3;150.7;149.2;148.6
Castilla - La Mancha;151.2;151.6;151;150.7
Cataluña;151.4;153.6;151.4;151
Comunitat Valenciana;149.8;152.5;150;148.1
Extremadura;147;150;147.9;146.7
Galicia;153.2;154.4;152.8;152.5
Madrid. Comunidad de;154.3;156;154;153.5
Murcia. Region de;151.4;152.3;151.4;151.2
Navarra. Comunidad Foral de;149;151.3;149.6;150.4
País Vasco;147.3;148.9;147.2;147.6
Rioja. La;150.3;150.9;149.1;149.7
